"PLOT_ID","peak_value_2021","peak_value_2022","Treatment_2021","Treatment_2022","Block_a","Block_b","Harvest_2021","Harvest_2022","plot_number","country.x"
"1-a",0.822975450470334,0.862446705500285,"CON","MIN","Kontrol 2021","Mineral N 2022",5200.964024,11418.0187,"25-8","denmark"
"1-b",0.867861796418826,0.839232871929805,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",7393.578787,8924.994896,"25-15","denmark"
"1-c",0.883364219208816,0.803335169951121,"MIN","OG2","Mineral N 2021","OG2 2022",7127.123049,7836.879709,"25-24","denmark"
"1-d",0.886711504332947,0.764636864264806,"MIN","CON","Mineral N 2021","Kontrol 2022",7965.740335,5823.130175,"25-39","denmark"
"10-a",0.80565228675093,0.873682538668315,"CON","MIN","Kontrol 2021","Mineral N 2022",4604.615712,11383.77727,"25-9","denmark"
"10-b",0.874687410127721,0.849160234133403,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",8122.512038,9187.544554,"25-14","denmark"
"10-c",0.888202290914275,0.814119358857473,"MIN","OG2","Mineral N 2021","OG2 2022",8178.184763,7577.339196,"25-23","denmark"
"10-d",0.889398138425051,0.787134110927582,"MIN","CON","Mineral N 2021","Kontrol 2022",8515.967421,5429.707342,"25-40","denmark"
"2-a",0.789697724580765,0.853838215271632,"CON","MIN","Kontrol 2021","Mineral N 2022",4012.32921,11234.54926,"25-10","denmark"
"2-b",0.863394439091414,0.836216469605764,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",7627.88386,7267.710129,"25-18","denmark"
"2-c",0.883719748374704,0.794407665729523,"MIN","OG2","Mineral N 2021","OG2 2022",7955.007152,6815.007548,"25-28","denmark"
"2-d",0.886682262965095,0.749172816673915,"MIN","CON","Mineral N 2021","Kontrol 2022",8140.264713,4186.114722,"25-31","denmark"
"3-a",0.781769533668246,0.855671485265096,"CON","MIN","Kontrol 2021","Mineral N 2022",4174.386598,11835.51937,"25-2","denmark"
"3-b",0.864104842597788,0.831498672564824,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",7527.964107,9442.204736,"25-19","denmark"
"3-c",0.882828404751175,0.769493192434311,"MIN","OG2","Mineral N 2021","OG2 2022",8164.174178,7757.297837,"25-25","denmark"
"3-d",0.882063265783446,0.712163945039113,"MIN","CON","Mineral N 2021","Kontrol 2022",6657.748123,4296.081466,"25-34","denmark"
"4-a",0.774050808378628,0.856112837791443,"CON","MIN","Kontrol 2021","Mineral N 2022",4009.933558,11132.41006,"25-3","denmark"
"4-b",0.862047885700222,0.833066205183665,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",7151.656096,9289.111851,"25-12","denmark"
"4-c",0.885389456901199,0.784125467141469,"MIN","OG2","Mineral N 2021","OG2 2022",8239.447633,6486.365166,"25-29","denmark"
"4-d",0.884807362584841,0.73264558116595,"MIN","CON","Mineral N 2021","Kontrol 2022",6617.49475,3192.727866,"25-33","denmark"
"5-a",0.768318701074237,0.853946675856908,"CON","MIN","Kontrol 2021","Mineral N 2022",4587.078373,10244.04599,"25-4","denmark"
"5-b",0.864423286321359,0.82294699549675,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",7329.965338,7716.64548,"25-20","denmark"
"5-c",0.883854796179445,0.771356493234634,"MIN","OG2","Mineral N 2021","OG2 2022",8147.664345,5937.744473,"25-30","denmark"
"5-d",0.884632551786187,0.724556545416514,"MIN","CON","Mineral N 2021","Kontrol 2022",7533.026887,3345.674765,"25-37","denmark"
"6-a",0.774013556327139,0.853835155566533,"CON","MIN","Kontrol 2021","Mineral N 2022",4137.499066,10509.72365,"25-1","denmark"
"6-b",0.86450938866252,0.815736164649328,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",7354.3675,8451.314343,"25-17","denmark"
"6-c",0.883183779744875,0.752503782510757,"MIN","OG2","Mineral N 2021","OG2 2022",7328.972979,6720.222725,"25-27","denmark"
"6-d",0.885225711304904,0.707550684611003,"MIN","CON","Mineral N 2021","Kontrol 2022",7388.092225,4831.883004,"25-32","denmark"
"7-a",0.785035696199962,0.859005550543467,"CON","MIN","Kontrol 2021","Mineral N 2022",4346.6321,10103.7397,"25-5","denmark"
"7-b",0.867194310011286,0.82816606760025,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",7889.513578,9316.834389,"25-11","denmark"
"7-c",0.883161048739504,0.76947671175003,"MIN","OG2","Mineral N 2021","OG2 2022",7640.91613,7866.591689,"25-22","denmark"
"7-d",0.881036740257627,0.707139909267426,"MIN","CON","Mineral N 2021","Kontrol 2022",6353.717476,4914.990194,"25-38","denmark"
"8-a",0.796896278290522,0.867992570002874,"CON","MIN","Kontrol 2021","Mineral N 2022",4459.982765,11156.05453,"25-6","denmark"
"8-b",0.871925138704705,0.838896026213964,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",7636.255256,9002.623073,"25-16","denmark"
"8-c",0.888362791682735,0.785424172878265,"MIN","OG2","Mineral N 2021","OG2 2022",8314.729529,7282.609516,"25-21","denmark"
"8-d",0.886866371894812,0.724851171175639,"MIN","CON","Mineral N 2021","Kontrol 2022",6015.9944,3694.280585,"25-36","denmark"
"9-a",0.794047172580447,0.86807041366895,"CON","MIN","Kontrol 2021","Mineral N 2022",4280.367631,10518.92612,"25-7","denmark"
"9-b",0.873530596186474,0.84598891933759,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",7724.132449,9193.827287,"25-13","denmark"
"9-c",0.889787477577404,0.785529007514318,"MIN","OG2","Mineral N 2021","OG2 2022",8186.85581,8078.203221,"25-26","denmark"
"9-d",0.887556571800471,0.743997265895208,"MIN","CON","Mineral N 2021","Kontrol 2022",7724.042943,4892.079415,"25-35","denmark"
